SCH_ID,REGION,DISTRICT,TEHSIL,UC,SCH_PREFIX,SCH_NAME,STATUS,SCH_LEVEL,SCH_GENDER,LONGITUDE,LATITUDE
401020305,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GBPS,Muhammad Umar Unar,Functional,Primary,Mixed,68.835,24.5436
401020306,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HAJI USMAN MALLAH,Functional,Primary,Mixed,68.4614,24.8119
401020307,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,GHULAM ALI SAMOON,Closed Temporary,Primary,Boys,68.5089,24.8199
401020308,Hyderabad,Badin,Golarchi-S.F.Rao,Dadhako,GBPS,SULEMAN KHASKHELI AT JAKHRO NOHANI,Functional,Primary,Mixed,68.5447,24.7227
401020309,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,MITHO SAMOON,Functional,Primary,Mixed,68.4872,24.7836
401020310,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,PORHO KHASKHELI,Closed Temporary,Primary,Boys,68.7292,24.8286
401020312,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HAJI JAFFER BUBAR,Functional,Primary,Boys,68.5282,24.7744
401020313,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,RUSTAM KHAN MAHERI,Functional,Primary,Mixed,68.5507,24.7906
401020314,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HAJI BHAI KHAN MAHERI,Functional,Primary,Mixed,68.5432,24.7952
401020316,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GBPS,HAJID SAID KHAN CHANDIO,Functional,Primary,Mixed,68.5342,24.8698
401020317,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HAJI SIDDIQUE NOONDANI,Functional,Primary,Boys,68.5436,24.8331
401020320,Hyderabad,Badin,Golarchi-S.F.Rao,KARIO GHAWAR-Tc,GBPS,HAJI GUL MUHMMAD MAHERI,Functional,Primary,Mixed,68.558,24.8582
401020321,Hyderabad,Badin,Golarchi-S.F.Rao,KARIO GHAWAR-Tc,GBPS,AHMAD KHAN RIND,Functional,Primary,Mixed,68.5728,24.8705
401020322,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GBPS,SHAFI MUHAMMAD RINDH,Functional,Primary,Mixed,68.5879,24.8578
401020324,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GBPS,MUHAMMAD ESSA MALLAH AT ARJAN KOLHI,Functional,Primary,Mixed,68.5596,24.8068
401020349,Hyderabad,Badin,Golarchi-S.F.Rao,KARIO GHAWAR-Tc,GBPS,HAFIZ ABDULLAH SAMOON,Functional,Primary,Mixed,68.5672,24.8151
401020350,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,Muhammad Moosa Wadho,Functional,Primary,Mixed,68.5336,24.7847
401020351,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,ALI MUHAMMAD DASRO,Functional,Primary,Mixed,68.5027,24.7845
401020358,Hyderabad,Badin,Golarchi-S.F.Rao,Dadhako,GBPS,HAJI MITHO NOTKANI,Functional,Primary,Mixed,68.543,24.739
401020372,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HAJI SOOMAR NOONDANI,Functional,Primary,Boys,68.5336,24.7958
